location,year,category,rank,query
France,2003,Tendances de l'année,2,Fnac
France,2003,Tendances de l'année,3,Star Academy
France,2003,Tendances de l'année,4,TF1
France,2003,Tendances de l'année,5,Matrix
Germany,2003,Beliebte Filme,1,Matrix
Germany,2003,Beliebte Filme,2,Harry Potter
Germany,2003,Beliebte Filme,3,Herr Der Ringe
Germany,2003,Beliebte Filme,4,Findet Nemo
Germany,2003,Beliebte Filme,5,Kill Bill
Germany,2003,Beliebte Suchanfragen,1,Yu-Gi-Oh
Germany,2003,Beliebte Suchanfragen,2,Jeanette Biedermann
Germany,2003,Beliebte Suchanfragen,3,Paris Hilton
Germany,2003,Beliebte Suchanfragen,4,BMW
Germany,2003,Beliebte Suchanfragen,5,Stiftung Warentest
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,1,Ryanair
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,2,Deutsche Bahn
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,3,Last Minute
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,4,Lufthansa
Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,5,Germanwings
Italy,2003,Popular Brands,1,Nokia
Italy,2003,Popular Brands,2,Hewlett-Packard
Italy,2003,Popular Brands,3,Vodafone
Italy,2003,Popular Brands,4,IKEA
Italy,2003,Popular Brands,5,Xbox
Italy,2003,Popular Italian Singers,1,Eros Ramazzotti
Italy,2003,Popular Italian Singers,2,Vasco Rossi
Italy,2003,Popular Italian Singers,3,Gigi D'Alessio
Italy,2003,Popular Italian Singers,4,Tiziano Ferro
Italy,2003,Popular Italian Singers,5,Giorgia
Italy,2003,Popular Queries,1,Pagine Bianche
Italy,2003,Popular Queries,2,Meteo
Italy,2003,Popular Queries,3,Trenitalia
Italy,2003,Popular Queries,4,Auto Usate
Italy,2003,Popular Queries,5,Musica
Netherlands,2003,Popular Men,1,Eminem
Netherlands,2003,Popular Men,2,Justin Timberlake
Netherlands,2003,Popular Men,3,Robbie Williams
Netherlands,2003,Popular Men,4,Orlando Bloom
Netherlands,2003,Popular Men,5,Frans Bauer
Netherlands,2003,Popular Movies,1,2 Fast 2 Furious
Netherlands,2003,Popular Movies,2,Lord of the Rings
Netherlands,2003,Popular Movies,3,Matrix
Netherlands,2003,Popular Movies,4,Harry Potter
Netherlands,2003,Popular Movies,5,Finding Nemo
Netherlands,2003,Popular Queries,1,Spongebob
Netherlands,2003,Popular Queries,2,Christina Aguilera
Netherlands,2003,Popular Queries,3,Voetbal
Netherlands,2003,Popular Queries,4,Beyonce
Netherlands,2003,Popular Queries,5,Vuurwerk
Spain,2003,Popular Men,1,Eminem
Spain,2003,Popular Men,2,Valentino Rossi
Spain,2003,Popular Men,3,Beckham
Spain,2003,Popular Men,4,Orlando Bloom
Spain,2003,Popular Men,5,Josh Hartnett
Spain,2003,Popular Movies,1,Matrix
Spain,2003,Popular Movies,2,El Senor de los Anillos
Spain,2003,Popular Movies,3,Harry Potter
Spain,2003,Popular Movies,4,Spiderman
Spain,2003,Popular Movies,5,Hulk
Spain,2003,Popular Queries,1,Letizia Ortiz
Spain,2003,Popular Queries,2,Terra
Spain,2003,Popular Queries,3,Gran Hermano
Spain,2003,Popular Queries,4,Juegos
Spain,2003,Popular Queries,5,Coches
United Kingdom,2003,Searches,1,Prince Charles
United Kingdom,2003,Searches,2,EastEnders
United Kingdom,2003,Searches,3,Winnie the Pooh
United Kingdom,2003,Searches,4,Jonny Wilkinson
United Kingdom,2003,Searches,5,EasyJet
United Kingdom,2003,Sports,1,Jonny Wilkinson
United Kingdom,2003,Sports,2,David Beckham
United Kingdom,2003,Sports,3,Rugby World Cup
United Kingdom,2003,Sports,4,Manchester United
United Kingdom,2003,Sports,5,Football
United Kingdom,2003,Travel,1,EasyJet
United Kingdom,2003,Travel,2,Cheap Flights
United Kingdom,2003,Travel,3,Ryanair
United Kingdom,2003,Travel,4,British Airways
United Kingdom,2003,Travel,5,Train Times
Global,2004,Car Images,1,Ferrari
Global,2004,Car Images,2,BMW
Global,2004,Car Images,3,Lamborghini
Global,2004,Car Images,4,Nissan Skyline
Global,2004,Car Images,5,Porsche
Global,2004,Cartoons Images,1,The Simpsons
Global,2004,Cartoons Images,2,Pokémon
Global,2004,Cartoons Images,3,South Park
Global,2004,Cartoons Images,4,Garfield
Global,2004,Cartoons Images,5,Hello Kitty
Global,2004,Companies,1,SCO
Global,2004,Companies,2,Johnson & Johnson
Global,2004,Companies,3,ING
Global,2004,Companies,4,GE Aviation
Global,2004,Companies,5,Fleet
Global,2004,Consumer Brands,1,eBay
Global,2004,Consumer Brands,2,Walmart
Global,2004,Consumer Brands,3,MapQuest
Global,2004,Consumer Brands,4,Amazon
Global,2004,Consumer Brands,5,Home Depot
Global,2004,Countries,1,France
Global,2004,Countries,2,China
Global,2004,Countries,3,India
Global,2004,Countries,4,Iraq
Global,2004,Countries,5,Iran
Global,2004,Deaths of 2004,1,Nicholas Berg
Global,2004,Deaths of 2004,2,Christopher Reeve
Global,2004,Deaths of 2004,3,Spalding Gray
Global,2004,Deaths of 2004,4,Marlon Brando
Global,2004,Deaths of 2004,5,Kenneth Bigley
Global,2004,Entertainment,1,Spa
Global,2004,Entertainment,2,Movies
Global,2004,Entertainment,3,Nightclub
Global,2004,Entertainment,4,Pub
Global,2004,Entertainment,5,Zoo
Global,2004,Female Celebrity Images,1,Britney Spears
Global,2004,Female Celebrity Images,2,Christina Aguilera
Global,2004,Female Celebrity Images,3,Pamela Anderson
Global,2004,Female Celebrity Images,4,Paris Hilton
Global,2004,Female Celebrity Images,5,Carmen Electra
Global,2004,Foods,1,Pizza
Global,2004,Foods,2,Sushi
Global,2004,Foods,3,Bakery
Global,2004,Foods,4,Chinese
Global,2004,Foods,5,Italian
Global,2004,Froogle Brand Searches,1,Louis Vuitton
Global,2004,Froogle Brand Searches,2,Nikon
Global,2004,Froogle Brand Searches,3,Canon
Global,2004,Froogle Brand Searches,4,Treo
Global,2004,Froogle Brand Searches,5,Tiffany
Global,2004,Froogle Clothing Searches,1,Bikini
Global,2004,Froogle Clothing Searches,2,Mini Skirt
Global,2004,Froogle Clothing Searches,3,Prom Dresses
Global,2004,Froogle Clothing Searches,4,Lingerie
Global,2004,Froogle Clothing Searches,5,Little Black Dress
Global,2004,Froogle Computer Goods Searches,1,Tablet PC
Global,2004,Froogle Computer Goods Searches,2,Computer
Global,2004,Froogle Computer Goods Searches,3,Laptop
Global,2004,Froogle Computer Goods Searches,4,Headphones
Global,2004,Froogle Computer Goods Searches,5,Computer Speakers
Global,2004,Froogle Electronics Searches,1,iPod
Global,2004,Froogle Electronics Searches,2,Digital Camera
Global,2004,Froogle Electronics Searches,3,MP3
Global,2004,Froogle Electronics Searches,4,Xbox
Global,2004,Froogle Electronics Searches,5,PlayStation 2
Global,2004,Froogle Hobby Searches,1,Poker Chips
Global,2004,Froogle Hobby Searches,2,Airsoft Guns
Global,2004,Froogle Hobby Searches,3,Mountain Bike
Global,2004,Froogle Hobby Searches,4,Pocket Bike
Global,2004,Froogle Hobby Searches,5,Night Vision Goggles
Global,2004,Froogle Shoe Searches,1,UGG Boots
Global,2004,Froogle Shoe Searches,2,Puma
Global,2004,Froogle Shoe Searches,3,Adidas
Global,2004,Froogle Shoe Searches,4,Nike
Global,2004,Froogle Shoe Searches,5,Aerosole
Global,2004,Health Services,1,Doctor
Global,2004,Health Services,2,Hospital
Global,2004,Health Services,3,Massage
Global,2004,Health Services,4,Dentist
Global,2004,Health Services,5,Yoga
Global,2004,Hotel Chains,1,Holiday Inn
Global,2004,Hotel Chains,2,Hampton Inn
Global,2004,Hotel Chains,3,Marriott
Global,2004,Hotel Chains,4,Hilton
Global,2004,Hotel Chains,5,Days Inn
Global,2004,Male Celebrity Images,1,Orlando Bloom
Global,2004,Male Celebrity Images,2,Eminem
Global,2004,Male Celebrity Images,3,Usher
Global,2004,Male Celebrity Images,4,Johnny Depp
Global,2004,Male Celebrity Images,5,Brad Pitt
Global,2004,Men,1,Orlando Bloom
Global,2004,Men,2,Eminem
Global,2004,Men,3,Usher
Global,2004,Men,4,Johnny Depp
Global,2004,Men,5,Brad Pitt
Global,2004,News Outlets,1,CNN
Global,2004,News Outlets,2,Washington Post
Global,2004,News Outlets,3,BBC
Global,2004,News Outlets,4,Fox News
Global,2004,News Outlets,5,New York Times
Global,2004,Professional Services,1,Real Estate
Global,2004,Professional Services,2,Attorney
Global,2004,Professional Services,3,Insurance Broker
Global,2004,Professional Services,4,Car Dealer
Global,2004,Professional Services,5,Hair Salon
Global,2004,Public Figures,1,George W. Bush
Global,2004,Public Figures,2,Janet Jackson
Global,2004,Public Figures,3,John Kerry
Global,2004,Public Figures,4,Britney Spears
Global,2004,Public Figures,5,Saddam Hussein
Global,2004,Retail Chains,1,Walmart
Global,2004,Retail Chains,2,Home Depot
Global,2004,Retail Chains,3,Best Buy
Global,2004,Retail Chains,4,Costco
Global,2004,Retail Chains,5,Walgreens
Global,2004,Searches,1,Britney Spears
Global,2004,Searches,2,Paris Hilton
Global,2004,Searches,3,Christina Aguilera
Global,2004,Searches,4,Pamela Anderson
Global,2004,Searches,5,Chat
Global,2004,Sports,1,David Beckham
Global,2004,Sports,2,Tour de France
Global,2004,Sports,3,Euro 2004
Global,2004,Sports,4,NBA
Global,2004,Sports,5,Lance Armstrong
Global,2004,Sports Services,1,YMCA
Global,2004,Sports Services,2,Golf
Global,2004,Sports Services,3,Campground
Global,2004,Sports Services,4,Bowling
Global,2004,Sports Services,5,Marathon
Global,2004,Technology,1,Wallpaper
Global,2004,Technology,2,Kazaa
Global,2004,Technology,3,MP3
Global,2004,Technology,4,Spybot
Global,2004,Technology,5,Linux
Global,2004,TV Shows,1,The Simpsons
Global,2004,TV Shows,2,Pokémon
Global,2004,TV Shows,3,South Park
Global,2004,TV Shows,4,Charmed
Global,2004,TV Shows,5,SpongeBob SquarePants
Global,2004,Women,1,Britney Spears
Global,2004,Women,2,Paris Hilton
Global,2004,Women,3,Christina Aguilera
Global,2004,Women,4,Pamela Anderson
Global,2004,Women,5,Carmen Electra
Global,2005,Froogle Searches,1,iPod
Global,2005,Froogle Searches,2,Digital Camera
Global,2005,Froogle Searches,3,MP3 Player
Global,2005,Froogle Searches,4,iPod Mini
Global,2005,Froogle Searches,5,PlayStation Portable
Global,2005,Most Searched,1,Janet Jackson
Global,2005,Most Searched,2,Hurricane Katrina
Global,2005,Most Searched,3,Tsunami
Global,2005,Most Searched,4,Xbox 360
Global,2005,Most Searched,5,Brad Pitt
Global,2006,Deaths of 2006,1,Aaron Spelling
Global,2006,Deaths of 2006,2,Kirby Puckett
Global,2006,Deaths of 2006,3,Jack Wild
Global,2006,Deaths of 2006,4,Clifford Geertz
Global,2006,Deaths of 2006,5,Muriel Spark
Global,2006,Define...,1,Define Promiscuous
Global,2006,Define...,2,Define Web 2.0
Global,2006,Define...,3,Define FTW
Global,2006,Define...,4,Define Calidad
Global,2006,Define...,5,Define Ajax
Global,2006,Divorces,1,Paul McCartney and Heather Mills
Global,2006,Divorces,2,Travis Barker and Shanna Moakler
Global,2006,Divorces,3,Britney Spears and Kevin Federline
Global,2006,Divorces,4,Whitney Houston and Bobby Brown
Global,2006,Divorces,5,Eminem and Kim Mathers
Global,2006,How to...,1,How to Refinance
Global,2006,How to...,2,Wiki How To
Global,2006,How to...,3,How to Drift
Global,2006,How to...,4,How to Podcast
Global,2006,How to...,5,How to Scream
Global,2006,Jerseys,1,World Cup Jerseys
Global,2006,Jerseys,2,Zidane Jersey
Global,2006,Jerseys,3,Buffalo Sabres Jersey
Global,2006,Jerseys,4,Ronaldinho Jersey
Global,2006,Jerseys,5,Italy Jersey
Global,2006,Most Searched,1,Bebo
Global,2006,Most Searched,2,Myspace
Global,2006,Most Searched,3,World Cup
Global,2006,Most Searched,4,Metacafe
Global,2006,Most Searched,5,Radioblog
Global,2006,News Searches,1,Paris Hilton
Global,2006,News Searches,2,Orlando Bloom
Global,2006,News Searches,3,Cancer
Global,2006,News Searches,4,Podcasting
Global,2006,News Searches,5,Hurricane Katrina
Global,2006,Retirements,1,Bob Barker
Global,2006,Retirements,2,Bobby Bowden
Global,2006,Retirements,3,Sammy Sosa
Global,2006,Retirements,4,Tiki Barber
Global,2006,Retirements,5,Bill Gates
Global,2006,Weddings,1,Nicole Kidman and Keith Urban
Global,2006,Weddings,2,Tom Cruise and Katie Holmes
Global,2006,Weddings,3,Avril Lavigne and Deryck Whibley
Global,2006,Weddings,4,Campbell Brown and Dan Senor
Global,2006,Weddings,5,TomKat Wedding Photos
Global,2006,What is...,1,What is Hezbollah
Global,2006,What is...,2,What is Carisoprodol
Global,2006,What is...,3,What is Acyclovir
Global,2006,What is...,4,What is Alprazolam
Global,2006,What is...,5,What is Tramadol
Global,2006,Where is...,1,Where is Togo
Global,2006,Where is...,2,Where is Matt
Global,2006,Where is...,3,Where is Torino
Global,2006,Where is...,4,Where is Darfur
Global,2006,Where is...,5,Where is Villanova
Global,2006,Who is...,1,Who is Borat
Global,2006,Who is...,2,Who is Hezbollah
Global,2006,Who is...,3,Who is EU
Global,2006,Who is...,4,Who is Hot
Global,2006,Who is...,5,Who is Capote
United States,2006,Movie Showtimes,1,Idiocracy Showtimes
United States,2006,Movie Showtimes,2,Cars Showtimes
United States,2006,Movie Showtimes,3,Borat Showtimes
United States,2006,Movie Showtimes,4,Superman Showtimes
United States,2006,Movie Showtimes,5,Jesus Camp Showtimes
United States,2006,Scandals,1,Duke Lacrosse Scandal
United States,2006,Scandals,2,Project Runway Scandal
United States,2006,Scandals,3,Duke Scandal
United States,2006,Scandals,4,Duke Rape Scandal
United States,2006,Scandals,5,Reggie Bush Scandal
United States,2006,Tickets,1,Cheetah Girls Tickets
United States,2006,Tickets,2,Mets Playoff Tickets
United States,2006,Tickets,3,The Fray Tickets
United States,2006,Tickets,4,Bob Seger Tickets
United States,2006,Tickets,5,Chris Brown Tickets
Global,2007,News Searches,1,American Idol
Global,2007,News Searches,2,YouTube
Global,2007,News Searches,3,Britney Spears
Global,2007,News Searches,4,2007 Cricket World Cup
Global,2007,News Searches,5,Chris Benoit
United States,2007,Deaths of 2007,1,Anna Nicole Smith
United States,2007,Deaths of 2007,2,Travis Barker (Rumored)
United States,2007,Deaths of 2007,3,Vince McMahon (Rumored)
United States,2007,Deaths of 2007,4,Chris Benoit
United States,2007,Deaths of 2007,5,Fidel Castro (Rumored)
United States,2007,Diets,1,Weight Watchers
United States,2007,Diets,2,Jenny Craig
United States,2007,Diets,3,Volumetrics
United States,2007,Diets,4,Slim Fast
United States,2007,Diets,5,Atkins Diet
United States,2007,Fitness,1,Pilates
United States,2007,Fitness,2,Bikram Yoga
United States,2007,Fitness,3,Spinning
United States,2007,Fitness,4,Cross Fit
United States,2007,Fitness,5,Zumba
United States,2007,How To,1,How to Kiss
United States,2007,How To,2,How to Draw
United States,2007,How To,3,How to Knit
United States,2007,How To,4,How to Hack
United States,2007,How To,5,How to Dance
United States,2007,Lawsuits,1,Borat Lawsuit
United States,2007,Lawsuits,2,Vonage Lawsuit
United States,2007,Lawsuits,3,iPhone Lawsuit
United States,2007,Lawsuits,4,Facebook Lawsuit
United States,2007,Lawsuits,5,Jamie Gold Lawsuit
United States,2007,Lyrics,1,Umbrella Lyrics (Rihanna)
United States,2007,Lyrics,2,Soulja Boy Lyrics
United States,2007,Lyrics,3,Bubbly Lyrics (Colbie Caillat)
United States,2007,Lyrics,4,Paramore Lyrics
United States,2007,Lyrics,5,Lil Wayne Lyrics
United States,2007,Presidential Campaign,1,Ron Paul
United States,2007,Presidential Campaign,2,Fred Thompson
United States,2007,Presidential Campaign,3,Hilary Clinton
United States,2007,Presidential Campaign,4,Barack Obama
United States,2007,Presidential Campaign,5,John Edwards
United States,2007,Recipes,1,Master Cleanse Recipe
United States,2007,Recipes,2,Ratatouille Recipe
United States,2007,Recipes,3,Lemonade Diet Recipe
United States,2007,Recipes,4,Mojito Recipe
United States,2007,Recipes,5,Zucchini Bread Recipe
United States,2007,Ringtones,1,Mosquito Ringtone
United States,2007,Ringtones,2,24 Ringtone
United States,2007,Ringtones,3,The Office Ringtone
United States,2007,Ringtones,4,Silent Ringtone
United States,2007,Ringtones,5,Crazy Frog Ringtone
United States,2007,What is,1,What Is Love
United States,2007,What is,2,What Is Autism
United States,2007,What is,3,What Is RSS
United States,2007,What is,4,What Is Lupus
United States,2007,What is,5,What Is SAP
United States,2007,Who is,1,Who Is God
United States,2007,Who is,2,Who Is Who
United States,2007,Who is,3,Who Is Lookup
United States,2007,Who is,4,Who Is Jesus
United States,2007,Who is,5,Who Is It
Global,2008,Campaign Buzzwords,1,Joe The Plumber
Global,2008,Campaign Buzzwords,2,Jeremiah Wright
Global,2008,Campaign Buzzwords,3,Maverick
Global,2008,Campaign Buzzwords,4,William Ayers
Global,2008,Campaign Buzzwords,5,Bridge To Nowhere
Global,2008,Cocktails,1,Martini
Global,2008,Cocktails,2,Mojito
Global,2008,Cocktails,3,Margarita
Global,2008,Cocktails,4,Manhattan
Global,2008,Cocktails,5,Cosmopolitan
Global,2008,Comfort Foods,1,Ice Cream
Global,2008,Comfort Foods,2,Chili
Global,2008,Comfort Foods,3,Spaghetti
